ID,CENTER,FY,SIC,NAICS,STATE,PRODUCTS,EC_plant_cost,EC_plant_usage
MZ0143,MZ,2014,3241,327310,MO,cement,8011619,221935612
MZ0144,MZ,2014,3471,332813,IL,zinc plating,86103,1929488
MZ0145,MZ,2014,3221,327213,MO,glass containers,1858294,46051191
MZ0146,MZ,2014,2899,325411,MO,"bio-materials, chemicals",616922,9450206
MZ0147,MZ,2014,2673,326111,MO,plastic bags,558610,11223956
MZ0148,MZ,2014,3471,332813,MO,plating,59294,496506
MZ0149,MZ,2014,2834,325412,MO,Liquid Cell culture media and buffers,625711,9801955
MZ0152,MZ,2014,3363,331523,MO,Al Die Castings,1843344,36144000
MZ0154,MZ,2014,3432,332913,TN,Plumbing and roofing products,267511,2932800
MZ0155,MZ,2014,2032,311422,MO,Beverages,1266161,14037954
MZ0156,MZ,2014,2045,311813,MO,Bakery Products,791065,14006894
MZ0157,MZ,2014,3629,333414,MO,Electric heating elements and heaters,509566,7333251
MZ0158,MZ,2014,3089,326199,KY,Fiberglass and Vinyl Windows and Doors,825127,19897469
MZ0159,MZ,2014,2821,325211,MO,power coating resin,217187,3228320
MZ0160,MZ,2014,2821,325211,IL,Water-based latex,323777,5553636
MZ0161,MZ,2014,3714,336330,MO,vehicle wheels,2218970,41282684
MZ0162,MZ,2014,3625,335314,MO,switchgears and electric relay panels,158112,2535800
MZ0164,MZ,2014,2542,332618,MO,"shelving, closets",541002,12622200
MZ0166,MZ,2015,3699,335999,MO,electrical insulation,97998,1177360
MZ0169,MZ,2015,2542,332618,MO,machined parts for OEM,134751,1523694
MZ0170,MZ,2015,3721,334511,MO,Flight simulator,208120,2480569
MZ0171,MZ,2015,2759,323111,MO,plastic cards and holders,97081,1120728
MZ0174,MZ,2015,2541,337215,MO,store furnatures and fixtures,216535,3070061
MZ0175,MZ,2015,3711,336211,MO,Vehicle frames and body works,79004,2329026
MZ0176,MZ,2015,2045,311812,MO,"Bread, tortilla",1018768,16852369
MZ0180,MZ,2015,2426,321912,MO,wood and solid surface fabrications,166420,2999587
MZ0181,MZ,2015,2655,322219,MO,containers and fixtures,108629,2028939
MZ0182,MZ,2015,2013,311612,MO,Processed Bacon and Ham,614339,8390975
MZ0183,MZ,2015,2541,337215,MO,furnatures and fittings,115540,1323216
MZ0184,MZ,2015,2541,337215,MO,Display cabinets,132612,2380783
MZ0185,MZ,2015,2047,311111,MO,dog and cat food,1234035,28921821
MZ0186,MZ,2015,3444,332313,MO,Non-motorized Carts,163933,2637800
MZ0187,MZ,2015,3334,331318,AR,extruded aluminum products,220207,3240000
MZ0188,MZ,2015,3728,336412,MO,aircraft parts,191507,2427293
MZ0189,MZ,2015,3011,326211,IL,Tires,81716,1481607
MZ0190,MZ,2015,3011,326211,KS,tires,160475,1628592
MZ0191,MZ,2015,3511,333611,MO,Turbine Engines,235306,2643600
