id,center,fy,sic,naics,state,products,ec_plant_cost,ec_plant_usage
DL0152,DL,2015,2952.0,324122.0,PA,EPDM Rubber Membranes,2072735.0,32032000.0
DL0153,DL,2015,4952.0,221320.0,PA,Waste Water Treatment,275273.0,4682978.0
DL0154,DL,2015,3451.0,332721.0,PA,Machined Parts,73209.0,796320.0
DL0155,DL,2015,3211.0,327211.0,NJ,Architectural Glass,73534.0,1210193.0
DL0156,DL,2015,4952.0,221320.0,MD,Waste Water Treatment,383375.0,4931878.0
DL0157,DL,2016,2086.0,312111.0,PA,Carbonated Beverages,715588.0,10624770.0
DL0158,DL,2016,2834.0,325412.0,DE,Pharmaceuticals,1395119.0,21915639.0
DL0159,DL,2016,2821.0,325211.0,PA,Acrylic Molding Resins,2639954.0,27577200.0
DL0160,DL,2016,3826.0,334516.0,DE,Analytical Equipment,1353527.0,14946454.0
DL0161,DL,2016,4952.0,221320.0,MD,Waste Water Treatment,567697.0,6381840.0
DL0162,DL,2016,3826.0,334516.0,DE,Analytical Equipment,363335.0,4003929.0
DL0163,DL,2016,2759.0,323117.0,MD,"Books, Pamphlets and Coupons",277597.0,3742940.0
DL0164,DL,2016,2819.0,325612.0,DE,Bleach,314425.0,69966343.0
DL0165,DL,2016,4952.0,221320.0,MD,Treated Water,542732.0,9687681.0
DL0166,DL,2016,3713.0,336211.0,NJ,Mechanical Power Transmission,117295.0,846578.0
DL0167,DL,2016,2395.0,315210.0,DE,Textiles,189432.0,2808960.0
DL0168,DL,2016,2095.0,311920.0,PA,Coffee Packets,696487.0,8497913.0
DL0169,DL,2016,3221.0,327213.0,NJ,Glass Bottles,6006605.0,61054379.0
DL0170,DL,2016,2851.0,325510.0,DE,Latex Paints,358733.0,4959127.0
DL0171,DL,2016,3624.0,325211.0,MD,Composite Armour,135427.0,2316475.0
DL0172,DL,2017,2099.0,311991.0,NJ,Consumer-cooked food assemblies ,229225.0,1684864.0
DL0173,DL,2017,3674.0,334413.0,MD,RF and Microwave Technology ,261147.0,3541902.0
DL0174,DL,2017,2821.0,325211.0,DE,Polymer Modifiers,150607.0,2091768.0
DL0175,DL,2017,8062.0,622110.0,DE,Health Services,1235432.0,16304335.0
DL0176,DL,2017,3599.0,332710.0,DE,Machining,82188.0,1520525.0
